,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans
29,a cheap restaurant in the south part of town,inform_area__inform_pricerange,8,"['O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 0, 1, 1, 1, 2, 1, 1, 1]","['a', 'cheap', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town']","{'text': 'ein günstiges Restaurant im südlichen Teil der Stadt', 'to': 'de', 'alignment': {'proj': '0:0-0:2 2:6-4:12 8:17-14:23 19:20-25:26 26:30-28:36 32:35-38:41 37:38-43:45 40:43-47:51'}}",1,ein günstiges Restaurant im südlichen Teil der Stadt,0:0-0:2 2:6-4:12 8:17-14:23 19:20-25:26 26:30-28:36 32:35-38:41 37:38-43:45 40:43-47:51,"{'0:0': ['a', 'O', 1], '2:6': ['cheap', 'B-pricerange', 0], '8:17': ['restaurant', 'O', 1], '19:20': ['in', 'O', 1], '22:24': ['the', 'O', 1], '26:30': ['south', 'B-area', 2], '32:35': ['part', 'O', 1], '37:38': ['of', 'O', 1], '40:43': ['town', 'O', 1]}","{0: ['a', 'O', 1], 2: ['cheap', 'B-pricerange', 0], 8: ['restaurant', 'O', 1], 19: ['in', 'O', 1], 22: ['the', 'O', 1], 26: ['south', 'B-area', 2], 32: ['part', 'O', 1], 37: ['of', 'O', 1], 40: ['town', 'O', 1]}","{'0:2': '0:0', '4:12': '2:6', '14:23': '8:17', '25:26': '19:20', '28:36': '26:30', '38:41': '32:35', '43:45': '37:38', '47:51': '40:43'}","{0: 0, 4: 2, 14: 8, 25: 19, 28: 26, 38: 32, 43: 37, 47: 40}","['O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 0, 1, 1, 2, 1, 1, 1]"
30,no is there anything else,negate__reqalts,17,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['no', 'is', 'there', 'anything', 'else']","{'text': 'nein gibt es noch etwas anderes', 'to': 'de', 'alignment': {'proj': '0:1-0:3 3:4-5:8 6:10-10:11 12:19-18:22 21:24-13:16 21:24-24:30'}}",1,nein gibt es noch etwas anderes,0:1-0:3 3:4-5:8 6:10-10:11 12:19-18:22 21:24-13:16 21:24-24:30,"{'0:1': ['no', 'O', 1], '3:4': ['is', 'O', 1], '6:10': ['there', 'O', 1], '12:19': ['anything', 'O', 1], '21:24': ['else', 'O', 1]}","{0: ['no', 'O', 1], 3: ['is', 'O', 1], 6: ['there', 'O', 1], 12: ['anything', 'O', 1], 21: ['else', 'O', 1]}","{'0:3': '0:1', '5:8': '3:4', '10:11': '6:10', '18:22': '12:19', '13:16': '21:24', '24:30': '21:24'}","{0: 0, 5: 3, 10: 6, 18: 12, 13: 21, 24: 21}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
31,whats the phone number,request_phone,4,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['whats', 'the', 'phone', 'number']","{'text': 'Was ist die Telefonnummer', 'to': 'de', 'alignment': {'proj': '0:4-0:2 0:4-4:6 6:8-8:10 16:21-12:24'}}",1,Was ist die Telefonnummer,0:4-0:2 0:4-4:6 6:8-8:10 16:21-12:24,"{'0:4': ['whats', 'O', 1], '6:8': ['the', 'O', 1], '10:14': ['phone', 'O', 1], '16:21': ['number', 'O', 1]}","{0: ['whats', 'O', 1], 6: ['the', 'O', 1], 10: ['phone', 'O', 1], 16: ['number', 'O', 1]}","{'0:2': '0:4', '4:6': '0:4', '8:10': '6:8', '12:24': '16:21'}","{0: 0, 4: 0, 8: 6, 12: 16}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
32,alright good bye thank you,bye,18,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['alright', 'good', 'bye', 'thank', 'you']","{'text': 'auf Zum Abschied danke', 'to': 'de', 'alignment': {'proj': '0:6-0:2 8:11-4:6 13:15-8:15 17:21-17:21'}}",1,auf Zum Abschied danke,0:6-0:2 8:11-4:6 13:15-8:15 17:21-17:21,"{'0:6': ['alright', 'O', 1], '8:11': ['good', 'O', 1], '13:15': ['bye', 'O', 1], '17:21': ['thank', 'O', 1], '23:25': ['you', 'O', 1]}","{0: ['alright', 'O', 1], 8: ['good', 'O', 1], 13: ['bye', 'O', 1], 17: ['thank', 'O', 1], 23: ['you', 'O', 1]}","{'0:2': '0:6', '4:6': '8:11', '8:15': '13:15', '17:21': '17:21'}","{0: 0, 4: 8, 8: 13, 17: 17}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
33,european food,inform_food,6,"['B-food', 'O']","[3, 1]","['european', 'food']","{'text': 'europäische Lebensmittel', 'to': 'de', 'alignment': {'proj': '0:7-0:10 9:12-12:23'}}",1,europäische Lebensmittel,0:7-0:10 9:12-12:23,"{'0:7': ['european', 'B-food', 3], '9:12': ['food', 'O', 1]}","{0: ['european', 'B-food', 3], 9: ['food', 'O', 1]}","{'0:10': '0:7', '12:23': '9:12'}","{0: 0, 12: 9}","['B-food', 'O']","[3, 1]"
34,in the center,inform_area,2,"['O', 'O', 'B-area']","[1, 1, 2]","['in', 'the', 'center']","{'text': 'im Zentrum', 'to': 'de', 'alignment': {'proj': '0:1-0:1 7:12-3:9'}}",1,im Zentrum,0:1-0:1 7:12-3:9,"{'0:1': ['in', 'O', 1], '3:5': ['the', 'O', 1], '7:12': ['center', 'B-area', 2]}","{0: ['in', 'O', 1], 3: ['the', 'O', 1], 7: ['center', 'B-area', 2]}","{'0:1': '0:1', '3:9': '7:12'}","{0: 0, 3: 7}","['O', 'B-area']","[1, 2]"
35,expensive restaurant in the south part of town,inform_area__inform_pricerange,8,"['B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 1, 1, 2, 1, 1, 1]","['expensive', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town']","{'text': 'teures Restaurant im südlichen Teil der Stadt', 'to': 'de', 'alignment': {'proj': '0:8-0:5 10:19-7:16 21:22-18:19 28:32-21:29 34:37-31:34 39:40-36:38 42:45-40:44'}}",1,teures Restaurant im südlichen Teil der Stadt,0:8-0:5 10:19-7:16 21:22-18:19 28:32-21:29 34:37-31:34 39:40-36:38 42:45-40:44,"{'0:8': ['expensive', 'B-pricerange', 0], '10:19': ['restaurant', 'O', 1], '21:22': ['in', 'O', 1], '24:26': ['the', 'O', 1], '28:32': ['south', 'B-area', 2], '34:37': ['part', 'O', 1], '39:40': ['of', 'O', 1], '42:45': ['town', 'O', 1]}","{0: ['expensive', 'B-pricerange', 0], 10: ['restaurant', 'O', 1], 21: ['in', 'O', 1], 24: ['the', 'O', 1], 28: ['south', 'B-area', 2], 34: ['part', 'O', 1], 39: ['of', 'O', 1], 42: ['town', 'O', 1]}","{'0:5': '0:8', '7:16': '10:19', '18:19': '21:22', '21:29': '28:32', '31:34': '34:37', '36:38': '39:40', '40:44': '42:45'}","{0: 0, 7: 10, 18: 21, 21: 28, 31: 34, 36: 39, 40: 42}","['B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 1, 2, 1, 1, 1]"
36,dont care,inform_this,1,"['B-this', 'I-this']","[4, 5]","['dont', 'care']","{'text': 'Ist doch egal', 'to': 'de', 'alignment': {'proj': '0:9-0:12'}}",3,Ist doch egal,0:9-0:12,"{'0:3': ['dont', 'B-this', 4], '5:8': ['care', 'I-this', 5]}","{0: ['dont', 'B-this', 4], 5: ['care', 'I-this', 5]}",{'0:12': '0:9'},{0: 0},"['B-this', 'I-this', 'I-this']",['O']
37,price range,request_pricerange,19,"['O', 'O']","[1, 1]","['price', 'range']","{'text': 'Preislage', 'to': 'de', 'alignment': {'proj': '0:10-0:8'}}",2,Preislage,0:10-0:8,"{'0:4': ['price', 'O', 1], '6:10': ['range', 'O', 1]}","{0: ['price', 'O', 1], 6: ['range', 'O', 1]}",{'0:8': '0:10'},{0: 0},['O'],['O']
38,what is the phone number and post code,request_phone__request_postcode,20,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1]","['what', 'is', 'the', 'phone', 'number', 'and', 'post', 'code']","{'text': 'Wie lautet die Telefonnummer und Postleitzahl?', 'to': 'de', 'alignment': {'proj': '0:3-0:2 5:6-4:9 8:10-11:13 18:23-15:27 25:27-29:31 34:37-33:45'}}",1,Wie lautet die Telefonnummer und Postleitzahl?,0:3-0:2 5:6-4:9 8:10-11:13 18:23-15:27 25:27-29:31 34:37-33:45,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:16': ['phone', 'O', 1], '18:23': ['number', 'O', 1], '25:27': ['and', 'O', 1], '29:32': ['post', 'O', 1], '34:37': ['code', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['phone', 'O', 1], 18: ['number', 'O', 1], 25: ['and', 'O', 1], 29: ['post', 'O', 1], 34: ['code', 'O', 1]}","{'0:2': '0:3', '4:9': '5:6', '11:13': '8:10', '15:27': '18:23', '29:31': '25:27', '33:45': '34:37'}","{0: 0, 4: 5, 11: 8, 15: 18, 29: 25, 33: 34}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
39,tuscan food,inform_food,6,"['B-food', 'O']","[3, 1]","['tuscan', 'food']","{'text': 'toskanisches Essen', 'to': 'de', 'alignment': {'proj': '0:5-0:11 7:10-13:17'}}",1,toskanisches Essen,0:5-0:11 7:10-13:17,"{'0:5': ['tuscan', 'B-food', 3], '7:10': ['food', 'O', 1]}","{0: ['tuscan', 'B-food', 3], 7: ['food', 'O', 1]}","{'0:11': '0:5', '13:17': '7:10'}","{0: 0, 13: 7}","['B-food', 'O']","[3, 1]"
40,east,inform_area,2,['B-area'],[2],['east'],"{'text': 'Osten', 'to': 'de', 'alignment': {'proj': '0:3-0:4'}}",1,Osten,0:3-0:4,"{'0:3': ['east', 'B-area', 2]}","{0: ['east', 'B-area', 2]}",{'0:4': '0:3'},{0: 0},['B-area'],[2]
41,european,inform_food,6,['B-food'],[3],['european'],"{'text': 'europäisch', 'to': 'de', 'alignment': {'proj': '0:7-0:9'}}",1,europäisch,0:7-0:9,"{'0:7': ['european', 'B-food', 3]}","{0: ['european', 'B-food', 3]}",{'0:9': '0:7'},{0: 0},['B-food'],[3]
42,north,inform_area,2,['B-area'],[2],['north'],"{'text': 'Norden', 'to': 'de', 'alignment': {'proj': '0:4-0:5'}}",1,Norden,0:4-0:5,"{'0:4': ['north', 'B-area', 2]}","{0: ['north', 'B-area', 2]}",{'0:5': '0:4'},{0: 0},['B-area'],[2]
43,the center of town,inform_area,2,"['O', 'B-area', 'O', 'O']","[1, 2, 1, 1]","['the', 'center', 'of', 'town']","{'text': 'das Zentrum der Stadt', 'to': 'de', 'alignment': {'proj': '0:2-0:2 4:9-4:10 11:12-12:14 14:17-16:20'}}",1,das Zentrum der Stadt,0:2-0:2 4:9-4:10 11:12-12:14 14:17-16:20,"{'0:2': ['the', 'O', 1], '4:9': ['center', 'B-area', 2], '11:12': ['of', 'O', 1], '14:17': ['town', 'O', 1]}","{0: ['the', 'O', 1], 4: ['center', 'B-area', 2], 11: ['of', 'O', 1], 14: ['town', 'O', 1]}","{'0:2': '0:2', '4:10': '4:9', '12:14': '11:12', '16:20': '14:17'}","{0: 0, 4: 4, 12: 11, 16: 14}","['O', 'B-area', 'O', 'O']","[1, 2, 1, 1]"
44,barbecue food,inform_food,6,"['B-food', 'O']","[3, 1]","['barbecue', 'food']","{'text': 'Grillgerichte', 'to': 'de', 'alignment': {'proj': '0:7-0:12'}}",2,Grillgerichte,0:7-0:12,"{'0:7': ['barbecue', 'B-food', 3], '9:12': ['food', 'O', 1]}","{0: ['barbecue', 'B-food', 3], 9: ['food', 'O', 1]}",{'0:12': '0:7'},{0: 0},['B-food'],['O']
45,how about indian,inform_food__reqalts,15,"['O', 'O', 'B-food']","[1, 1, 3]","['how', 'about', 'indian']","{'text': 'wie wäre es mit indianisch', 'to': 'de', 'alignment': {'proj': '0:2-0:2 0:2-4:7 0:2-9:10 0:2-12:14 10:15-16:25'}}",1,wie wäre es mit indianisch,0:2-0:2 0:2-4:7 0:2-9:10 0:2-12:14 10:15-16:25,"{'0:2': ['how', 'O', 1], '4:8': ['about', 'O', 1], '10:15': ['indian', 'B-food', 3]}","{0: ['how', 'O', 1], 4: ['about', 'O', 1], 10: ['indian', 'B-food', 3]}","{'0:2': '0:2', '4:7': '0:2', '9:10': '0:2', '12:14': '0:2', '16:25': '10:15'}","{0: 0, 4: 0, 9: 0, 12: 0, 16: 10}","['O', 'O', 'O', 'O', 'B-food']","[1, 1, 1, 1, 3]"
46,no italian food,inform_food__negate,21,"['O', 'B-food', 'O']","[1, 3, 1]","['no', 'italian', 'food']","{'text': 'kein italienisches Essen', 'to': 'de', 'alignment': {'proj': '0:1-0:3 3:9-5:17 11:14-19:23'}}",1,kein italienisches Essen,0:1-0:3 3:9-5:17 11:14-19:23,"{'0:1': ['no', 'O', 1], '3:9': ['italian', 'B-food', 3], '11:14': ['food', 'O', 1]}","{0: ['no', 'O', 1], 3: ['italian', 'B-food', 3], 11: ['food', 'O', 1]}","{'0:3': '0:1', '5:17': '3:9', '19:23': '11:14'}","{0: 0, 5: 3, 19: 11}","['O', 'B-food', 'O']","[1, 3, 1]"
47,um doesnt matter if its in the center of the town,inform_area__inform_this,22,"['O', 'B-this', 'I-this', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 4, 5, 1, 1, 1, 1, 2, 1, 1, 1]","['um', 'doesnt', 'matter', 'if', 'its', 'in', 'the', 'center', 'of', 'the', 'town']","{'text': 'Umm spielt keine Rolle, ob es im Zentrum der Stadt ist', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:9 3:9-11:15 18:19-17:22 18:19-24:25 21:23-27:28 25:26-30:31 32:37-33:39 39:40-41:43 46:49-45:49 46:49-51:53'}}",1,"Umm spielt keine Rolle, ob es im Zentrum der Stadt ist",0:1-0:2 3:9-4:9 3:9-11:15 18:19-17:22 18:19-24:25 21:23-27:28 25:26-30:31 32:37-33:39 39:40-41:43 46:49-45:49 46:49-51:53,"{'0:1': ['um', 'O', 1], '3:8': ['doesnt', 'B-this', 4], '10:15': ['matter', 'I-this', 5], '17:18': ['if', 'O', 1], '20:22': ['its', 'O', 1], '24:25': ['in', 'O', 1], '27:29': ['the', 'O', 1], '31:36': ['center', 'B-area', 2], '38:39': ['of', 'O', 1], '41:43': ['the', 'O', 1], '45:48': ['town', 'O', 1]}","{0: ['um', 'O', 1], 3: ['doesnt', 'B-this', 4], 10: ['matter', 'I-this', 5], 17: ['if', 'O', 1], 20: ['its', 'O', 1], 24: ['in', 'O', 1], 27: ['the', 'O', 1], 31: ['center', 'B-area', 2], 38: ['of', 'O', 1], 41: ['the', 'O', 1], 45: ['town', 'O', 1]}","{'0:2': '0:1', '4:9': '3:9', '11:15': '3:9', '17:22': '18:19', '24:25': '18:19', '27:28': '21:23', '30:31': '25:26', '33:39': '32:37', '41:43': '39:40', '45:49': '46:49', '51:53': '46:49'}","{0: 0, 4: 3, 11: 3, 17: 18, 24: 18, 27: 21, 30: 25, 33: 32, 41: 39, 45: 46, 51: 46}","['O', 'B-this', 'B-this', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 4, 4, 1, 1, 1, 1, 2, 1, 1, 1]"
48,um,unknown,7,['O'],[1],['um'],"{'text': 'ähm', 'to': 'de', 'alignment': {'proj': '0:1-0:2'}}",1,ähm,0:1-0:2,"{'0:1': ['um', 'O', 1]}","{0: ['um', 'O', 1]}",{'0:2': '0:1'},{0: 0},['O'],[1]
49,how about italian food,inform_food__reqalts,15,"['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]","['how', 'about', 'italian', 'food']","{'text': 'wie wäre es mit italienischem Essen', 'to': 'de', 'alignment': {'proj': '0:2-0:2 0:2-4:7 0:2-9:10 0:2-12:14 10:16-16:28 18:21-30:34'}}",1,wie wäre es mit italienischem Essen,0:2-0:2 0:2-4:7 0:2-9:10 0:2-12:14 10:16-16:28 18:21-30:34,"{'0:2': ['how', 'O', 1], '4:8': ['about', 'O', 1], '10:16': ['italian', 'B-food', 3], '18:21': ['food', 'O', 1]}","{0: ['how', 'O', 1], 4: ['about', 'O', 1], 10: ['italian', 'B-food', 3], 18: ['food', 'O', 1]}","{'0:2': '0:2', '4:7': '0:2', '9:10': '0:2', '12:14': '0:2', '16:28': '10:16', '30:34': '18:21'}","{0: 0, 4: 0, 9: 0, 12: 0, 16: 10, 30: 18}","['O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 3, 1]"
50,doesnt matter,inform_this,1,"['B-this', 'I-this']","[4, 5]","['doesnt', 'matter']","{'text': 'Spielt keine Rolle', 'to': 'de', 'alignment': {'proj': '0:13-0:17'}}",3,Spielt keine Rolle,0:13-0:17,"{'0:5': ['doesnt', 'B-this', 4], '7:12': ['matter', 'I-this', 5]}","{0: ['doesnt', 'B-this', 4], 7: ['matter', 'I-this', 5]}",{'0:17': '0:13'},{0: 0},"['B-this', 'I-this', 'I-this']",['O']
51,whats their price range,request_pricerange,19,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['whats', 'their', 'price', 'range']","{'text': 'was ist ihre Preisspanne', 'to': 'de', 'alignment': {'proj': '0:4-0:2 0:4-4:6 6:10-8:11 18:22-13:23'}}",1,was ist ihre Preisspanne,0:4-0:2 0:4-4:6 6:10-8:11 18:22-13:23,"{'0:4': ['whats', 'O', 1], '6:10': ['their', 'O', 1], '12:16': ['price', 'O', 1], '18:22': ['range', 'O', 1]}","{0: ['whats', 'O', 1], 6: ['their', 'O', 1], 12: ['price', 'O', 1], 18: ['range', 'O', 1]}","{'0:2': '0:4', '4:6': '0:4', '8:11': '6:10', '13:23': '18:22'}","{0: 0, 4: 0, 8: 6, 13: 18}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
52,and their phone number,request_phone,4,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['and', 'their', 'phone', 'number']","{'text': 'und ihre Telefonnummer', 'to': 'de', 'alignment': {'proj': '0:2-0:2 4:8-4:7 16:21-9:21'}}",1,und ihre Telefonnummer,0:2-0:2 4:8-4:7 16:21-9:21,"{'0:2': ['and', 'O', 1], '4:8': ['their', 'O', 1], '10:14': ['phone', 'O', 1], '16:21': ['number', 'O', 1]}","{0: ['and', 'O', 1], 4: ['their', 'O', 1], 10: ['phone', 'O', 1], 16: ['number', 'O', 1]}","{'0:2': '0:2', '4:7': '4:8', '9:21': '16:21'}","{0: 0, 4: 4, 9: 16}","['O', 'O', 'O']","[1, 1, 1]"
53,im looking for an expensive restaurant in the east part of town,inform_area__inform_pricerange,8,"['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1]","['im', 'looking', 'for', 'an', 'expensive', 'restaurant', 'in', 'the', 'east', 'part', 'of', 'town']","{'text': 'Ich suche ein teures Restaurant im östlichen Teil der Stadt', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:8 15:16-10:12 18:26-14:19 28:37-21:30 39:40-32:33 46:49-35:43 51:54-45:48 56:57-50:52 59:62-54:58'}}",1,Ich suche ein teures Restaurant im östlichen Teil der Stadt,0:1-0:2 3:9-4:8 15:16-10:12 18:26-14:19 28:37-21:30 39:40-32:33 46:49-35:43 51:54-45:48 56:57-50:52 59:62-54:58,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:16': ['an', 'O', 1], '18:26': ['expensive', 'B-pricerange', 0], '28:37': ['restaurant', 'O', 1], '39:40': ['in', 'O', 1], '42:44': ['the', 'O', 1], '46:49': ['east', 'B-area', 2], '51:54': ['part', 'O', 1], '56:57': ['of', 'O', 1], '59:62': ['town', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['an', 'O', 1], 18: ['expensive', 'B-pricerange', 0], 28: ['restaurant', 'O', 1], 39: ['in', 'O', 1], 42: ['the', 'O', 1], 46: ['east', 'B-area', 2], 51: ['part', 'O', 1], 56: ['of', 'O', 1], 59: ['town', 'O', 1]}","{'0:2': '0:1', '4:8': '3:9', '10:12': '15:16', '14:19': '18:26', '21:30': '28:37', '32:33': '39:40', '35:43': '46:49', '45:48': '51:54', '50:52': '56:57', '54:58': '59:62'}","{0: 0, 4: 3, 10: 15, 14: 18, 21: 28, 32: 39, 35: 46, 45: 51, 50: 56, 54: 59}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 0, 1, 1, 2, 1, 1, 1]"
54,uh it doesnt matter,inform_this,1,"['O', 'O', 'B-this', 'I-this']","[1, 1, 4, 5]","['uh', 'it', 'doesnt', 'matter']","{'text': 'äh es spielt keine Rolle', 'to': 'de', 'alignment': {'proj': '0:1-0:1 3:4-3:4 6:12-13:17 14:19-6:11 14:19-19:23'}}",1,äh es spielt keine Rolle,0:1-0:1 3:4-3:4 6:12-13:17 14:19-6:11 14:19-19:23,"{'0:1': ['uh', 'O', 1], '3:4': ['it', 'O', 1], '6:11': ['doesnt', 'B-this', 4], '13:18': ['matter', 'I-this', 5]}","{0: ['uh', 'O', 1], 3: ['it', 'O', 1], 6: ['doesnt', 'B-this', 4], 13: ['matter', 'I-this', 5]}","{'0:1': '0:1', '3:4': '3:4', '13:17': '6:12', '6:11': '14:19', '19:23': '14:19'}","{0: 0, 3: 3, 13: 6, 6: 14, 19: 14}","['O', 'O', 'I-this', 'B-this', 'I-this']","[1, 1, 5, 4, 5]"
55,do you have anything else,reqalts,23,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['do', 'you', 'have', 'anything', 'else']","{'text': 'Haben Sie noch etwas anderes', 'to': 'de', 'alignment': {'proj': '3:5-6:8 7:10-0:4 12:19-15:19 21:24-10:13 21:24-21:27'}}",1,Haben Sie noch etwas anderes,3:5-6:8 7:10-0:4 12:19-15:19 21:24-10:13 21:24-21:27,"{'0:1': ['do', 'O', 1], '3:5': ['you', 'O', 1], '7:10': ['have', 'O', 1], '12:19': ['anything', 'O', 1], '21:24': ['else', 'O', 1]}","{0: ['do', 'O', 1], 3: ['you', 'O', 1], 7: ['have', 'O', 1], 12: ['anything', 'O', 1], 21: ['else', 'O', 1]}","{'6:8': '3:5', '0:4': '7:10', '15:19': '12:19', '10:13': '21:24', '21:27': '21:24'}","{6: 3, 0: 7, 15: 12, 10: 21, 21: 21}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
56,alright do you have the phone number for that one,request_phone,4,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['alright', 'do', 'you', 'have', 'the', 'phone', 'number', 'for', 'that', 'one']","{'text': 'In Ordnung, haben Sie die Telefonnummer dafür', 'to': 'de', 'alignment': {'proj': '0:6-0:1 0:6-3:10 11:13-18:20 15:18-12:16 20:22-22:24 30:35-26:38 37:39-40:44'}}",1,"In Ordnung, haben Sie die Telefonnummer dafür",0:6-0:1 0:6-3:10 11:13-18:20 15:18-12:16 20:22-22:24 30:35-26:38 37:39-40:44,"{'0:6': ['alright', 'O', 1], '8:9': ['do', 'O', 1], '11:13': ['you', 'O', 1], '15:18': ['have', 'O', 1], '20:22': ['the', 'O', 1], '24:28': ['phone', 'O', 1], '30:35': ['number', 'O', 1], '37:39': ['for', 'O', 1], '41:44': ['that', 'O', 1], '46:48': ['one', 'O', 1]}","{0: ['alright', 'O', 1], 8: ['do', 'O', 1], 11: ['you', 'O', 1], 15: ['have', 'O', 1], 20: ['the', 'O', 1], 24: ['phone', 'O', 1], 30: ['number', 'O', 1], 37: ['for', 'O', 1], 41: ['that', 'O', 1], 46: ['one', 'O', 1]}","{'0:1': '0:6', '3:10': '0:6', '18:20': '11:13', '12:16': '15:18', '22:24': '20:22', '26:38': '30:35', '40:44': '37:39'}","{0: 0, 3: 0, 18: 11, 12: 15, 22: 20, 26: 30, 40: 37}","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]"
57,okay what about the post code,request_postcode,24,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['okay', 'what', 'about', 'the', 'post', 'code']","{'text': 'okay, was ist mit der Postleitzahl', 'to': 'de', 'alignment': {'proj': '5:8-0:4 5:8-6:8 5:8-10:12 16:18-14:16 16:18-18:20 20:23-22:33'}}",1,"okay, was ist mit der Postleitzahl",5:8-0:4 5:8-6:8 5:8-10:12 16:18-14:16 16:18-18:20 20:23-22:33,"{'0:3': ['okay', 'O', 1], '5:8': ['what', 'O', 1], '10:14': ['about', 'O', 1], '16:18': ['the', 'O', 1], '20:23': ['post', 'O', 1], '25:28': ['code', 'O', 1]}","{0: ['okay', 'O', 1], 5: ['what', 'O', 1], 10: ['about', 'O', 1], 16: ['the', 'O', 1], 20: ['post', 'O', 1], 25: ['code', 'O', 1]}","{'0:4': '5:8', '6:8': '5:8', '10:12': '5:8', '14:16': '16:18', '18:20': '16:18', '22:33': '20:23'}","{0: 5, 6: 5, 10: 5, 14: 16, 18: 16, 22: 20}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
58,okay thank you,thankyou,25,"['O', 'O', 'O']","[1, 1, 1]","['okay', 'thank', 'you']","{'text': 'okay danke', 'to': 'de', 'alignment': {'proj': '0:3-0:3 5:9-5:9'}}",1,okay danke,0:3-0:3 5:9-5:9,"{'0:3': ['okay', 'O', 1], '5:9': ['thank', 'O', 1], '11:13': ['you', 'O', 1]}","{0: ['okay', 'O', 1], 5: ['thank', 'O', 1], 11: ['you', 'O', 1]}","{'0:3': '0:3', '5:9': '5:9'}","{0: 0, 5: 5}","['O', 'O']","[1, 1]"
