index,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans,BIO_list_trans_RU,BIO_nums_list_trans_RU
28,thank you goodbye,bye__thankyou,5,"['O', 'O', 'O']","[1, 1, 1]","['thank', 'you', 'goodbye']","{'text': 'спасибо до свидания', 'to': 'ru', 'alignment': {'proj': '0:4-0:6 10:16-8:9 10:16-11:18'}}",1,спасибо до свидания,0:4-0:6 10:16-8:9 10:16-11:18,"{'0:4': ['thank', 'O', 1], '6:8': ['you', 'O', 1], '10:16': ['goodbye', 'O', 1]}","{0: ['thank', 'O', 1], 6: ['you', 'O', 1], 10: ['goodbye', 'O', 1]}","{'0:6': '0:4', '8:9': '10:16', '11:18': '10:16'}","{0: 0, 8: 10, 11: 10}","['O', 'O', 'O']","[1, 1, 1]","['O', 'O', 'O']","[1, 1, 1]"
29,a cheap restaurant in the south part of town,inform_area__inform_pricerange,8,"['O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 0, 1, 1, 1, 2, 1, 1, 1]","['a', 'cheap', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town']","{'text': 'дешевый ресторан в южной части города', 'to': 'ru', 'alignment': {'proj': '0:0-0:6 8:17-8:15 19:20-17:17 26:30-19:23 32:35-25:29 40:43-31:36'}}",1,дешевый ресторан в южной части города,0:0-0:6 8:17-8:15 19:20-17:17 26:30-19:23 32:35-25:29 40:43-31:36,"{'0:0': ['a', 'O', 1], '2:6': ['cheap', 'B-pricerange', 0], '8:17': ['restaurant', 'O', 1], '19:20': ['in', 'O', 1], '22:24': ['the', 'O', 1], '26:30': ['south', 'B-area', 2], '32:35': ['part', 'O', 1], '37:38': ['of', 'O', 1], '40:43': ['town', 'O', 1]}","{0: ['a', 'O', 1], 2: ['cheap', 'B-pricerange', 0], 8: ['restaurant', 'O', 1], 19: ['in', 'O', 1], 22: ['the', 'O', 1], 26: ['south', 'B-area', 2], 32: ['part', 'O', 1], 37: ['of', 'O', 1], 40: ['town', 'O', 1]}","{'0:6': '0:0', '8:15': '8:17', '17:17': '19:20', '19:23': '26:30', '25:29': '32:35', '31:36': '40:43'}","{0: 0, 8: 8, 17: 19, 19: 26, 25: 32, 31: 40}","['O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 0, 1, 1, 2, 1, 1, 1]","['O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 2, 1, 1]"
30,no is there anything else,negate__reqalts,17,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['no', 'is', 'there', 'anything', 'else']","{'text': 'нет ничего другого', 'to': 'ru', 'alignment': {'proj': '0:1-0:2 12:19-4:9 21:24-11:17'}}",1,нет ничего другого,0:1-0:2 12:19-4:9 21:24-11:17,"{'0:1': ['no', 'O', 1], '3:4': ['is', 'O', 1], '6:10': ['there', 'O', 1], '12:19': ['anything', 'O', 1], '21:24': ['else', 'O', 1]}","{0: ['no', 'O', 1], 3: ['is', 'O', 1], 6: ['there', 'O', 1], 12: ['anything', 'O', 1], 21: ['else', 'O', 1]}","{'0:2': '0:1', '4:9': '12:19', '11:17': '21:24'}","{0: 0, 4: 12, 11: 21}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['O', 'O', 'O']","[1, 1, 1]"
31,whats the phone number,request_phone,4,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['whats', 'the', 'phone', 'number']","{'text': 'какой номер телефона', 'to': 'ru', 'alignment': {'proj': '0:4-0:4 10:14-12:19 16:21-6:10'}}",1,какой номер телефона,0:4-0:4 10:14-12:19 16:21-6:10,"{'0:4': ['whats', 'O', 1], '6:8': ['the', 'O', 1], '10:14': ['phone', 'O', 1], '16:21': ['number', 'O', 1]}","{0: ['whats', 'O', 1], 6: ['the', 'O', 1], 10: ['phone', 'O', 1], 16: ['number', 'O', 1]}","{'0:4': '0:4', '12:19': '10:14', '6:10': '16:21'}","{0: 0, 12: 10, 6: 16}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O']","[1, 1, 1]"
32,alright good bye thank you,bye,18,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['alright', 'good', 'bye', 'thank', 'you']","{'text': 'хорошо, до свидания, спасибо', 'to': 'ru', 'alignment': {'proj': '0:6-0:6 13:15-8:9 13:15-11:19 17:21-21:27'}}",1,"хорошо, до свидания, спасибо",0:6-0:6 13:15-8:9 13:15-11:19 17:21-21:27,"{'0:6': ['alright', 'O', 1], '8:11': ['good', 'O', 1], '13:15': ['bye', 'O', 1], '17:21': ['thank', 'O', 1], '23:25': ['you', 'O', 1]}","{0: ['alright', 'O', 1], 8: ['good', 'O', 1], 13: ['bye', 'O', 1], 17: ['thank', 'O', 1], 23: ['you', 'O', 1]}","{'0:6': '0:6', '8:9': '13:15', '11:19': '13:15', '21:27': '17:21'}","{0: 0, 8: 13, 11: 13, 21: 17}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
33,european food,inform_food,6,"['B-food', 'O']","[3, 1]","['european', 'food']","{'text': 'европейская кухня', 'to': 'ru', 'alignment': {'proj': '0:7-0:10 9:12-12:16'}}",1,европейская кухня,0:7-0:10 9:12-12:16,"{'0:7': ['european', 'B-food', 3], '9:12': ['food', 'O', 1]}","{0: ['european', 'B-food', 3], 9: ['food', 'O', 1]}","{'0:10': '0:7', '12:16': '9:12'}","{0: 0, 12: 9}","['B-food', 'O']","[3, 1]","['B-food', 'O']","[3, 1]"
34,in the center,inform_area,2,"['O', 'O', 'B-area']","[1, 1, 2]","['in', 'the', 'center']","{'text': 'в центре', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 7:12-2:7'}}",1,в центре,0:1-0:0 7:12-2:7,"{'0:1': ['in', 'O', 1], '3:5': ['the', 'O', 1], '7:12': ['center', 'B-area', 2]}","{0: ['in', 'O', 1], 3: ['the', 'O', 1], 7: ['center', 'B-area', 2]}","{'0:0': '0:1', '2:7': '7:12'}","{0: 0, 2: 7}","['O', 'B-area']","[1, 2]","['O', 'B-area']","[1, 2]"
35,expensive restaurant in the south part of town,inform_area__inform_pricerange,8,"['B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 1, 1, 2, 1, 1, 1]","['expensive', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town']","{'text': 'дорогой ресторан в южной части города', 'to': 'ru', 'alignment': {'proj': '0:8-0:6 10:19-8:15 21:22-17:17 28:32-19:23 34:37-25:29 42:45-31:36'}}",1,дорогой ресторан в южной части города,0:8-0:6 10:19-8:15 21:22-17:17 28:32-19:23 34:37-25:29 42:45-31:36,"{'0:8': ['expensive', 'B-pricerange', 0], '10:19': ['restaurant', 'O', 1], '21:22': ['in', 'O', 1], '24:26': ['the', 'O', 1], '28:32': ['south', 'B-area', 2], '34:37': ['part', 'O', 1], '39:40': ['of', 'O', 1], '42:45': ['town', 'O', 1]}","{0: ['expensive', 'B-pricerange', 0], 10: ['restaurant', 'O', 1], 21: ['in', 'O', 1], 24: ['the', 'O', 1], 28: ['south', 'B-area', 2], 34: ['part', 'O', 1], 39: ['of', 'O', 1], 42: ['town', 'O', 1]}","{'0:6': '0:8', '8:15': '10:19', '17:17': '21:22', '19:23': '28:32', '25:29': '34:37', '31:36': '42:45'}","{0: 0, 8: 10, 17: 21, 19: 28, 25: 34, 31: 42}","['B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 1, 2, 1, 1, 1]","['B-pricerange', 'O', 'O', 'B-area', 'O', 'O']","[0, 1, 1, 2, 1, 1]"
36,dont care,inform_this,1,"['B-this', 'I-this']","[4, 5]","['dont', 'care']","{'text': 'не волнуйтесь', 'to': 'ru', 'alignment': {'proj': '0:4-0:1 6:9-3:12'}}",1,не волнуйтесь,0:4-0:1 6:9-3:12,"{'0:3': ['dont', 'B-this', 4], '5:8': ['care', 'I-this', 5]}","{0: ['dont', 'B-this', 4], 5: ['care', 'I-this', 5]}","{'0:1': '0:4', '3:12': '6:9'}","{0: 0, 3: 6}","['B-this', 'I-this', 'I-this']",['O'],"['B-this', 'I-this']","[4, 5]"
37,price range,request_pricerange,19,"['O', 'O']","[1, 1]","['price', 'range']","{'text': 'ценовой диапазон', 'to': 'ru', 'alignment': {'proj': '0:4-0:6 6:10-8:15'}}",1,ценовой диапазон,0:4-0:6 6:10-8:15,"{'0:4': ['price', 'O', 1], '6:10': ['range', 'O', 1]}","{0: ['price', 'O', 1], 6: ['range', 'O', 1]}","{'0:6': '0:4', '8:15': '6:10'}","{0: 0, 8: 6}",['O'],['O'],"['O', 'O']","[1, 1]"
38,what is the phone number and post code,request_phone__request_postcode,20,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1]","['what', 'is', 'the', 'phone', 'number', 'and', 'post', 'code']","{'text': 'что такое номер телефона и почтовый индекс', 'to': 'ru', 'alignment': {'proj': '0:3-0:2 8:10-4:8 12:16-16:23 18:23-10:14 25:27-25:25 29:32-27:34 34:37-36:41'}}",1,что такое номер телефона и почтовый индекс,0:3-0:2 8:10-4:8 12:16-16:23 18:23-10:14 25:27-25:25 29:32-27:34 34:37-36:41,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:16': ['phone', 'O', 1], '18:23': ['number', 'O', 1], '25:27': ['and', 'O', 1], '29:32': ['post', 'O', 1], '34:37': ['code', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['phone', 'O', 1], 18: ['number', 'O', 1], 25: ['and', 'O', 1], 29: ['post', 'O', 1], 34: ['code', 'O', 1]}","{'0:2': '0:3', '4:8': '8:10', '16:23': '12:16', '10:14': '18:23', '25:25': '25:27', '27:34': '29:32', '36:41': '34:37'}","{0: 0, 4: 8, 16: 12, 10: 18, 25: 25, 27: 29, 36: 34}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]"
39,tuscan food,inform_food,6,"['B-food', 'O']","[3, 1]","['tuscan', 'food']","{'text': 'тосканская еда', 'to': 'ru', 'alignment': {'proj': '0:5-0:9 7:10-11:13'}}",1,тосканская еда,0:5-0:9 7:10-11:13,"{'0:5': ['tuscan', 'B-food', 3], '7:10': ['food', 'O', 1]}","{0: ['tuscan', 'B-food', 3], 7: ['food', 'O', 1]}","{'0:9': '0:5', '11:13': '7:10'}","{0: 0, 11: 7}","['B-food', 'O']","[3, 1]","['B-food', 'O']","[3, 1]"
40,east,inform_area,2,['B-area'],[2],['east'],"{'text': 'Восток', 'to': 'ru', 'alignment': {'proj': '0:3-0:5'}}",1,Восток,0:3-0:5,"{'0:3': ['east', 'B-area', 2]}","{0: ['east', 'B-area', 2]}",{'0:5': '0:3'},{0: 0},['B-area'],[2],['B-area'],[2]
41,european,inform_food,6,['B-food'],[3],['european'],"{'text': 'европейский', 'to': 'ru', 'alignment': {'proj': '0:7-0:10'}}",1,европейский,0:7-0:10,"{'0:7': ['european', 'B-food', 3]}","{0: ['european', 'B-food', 3]}",{'0:10': '0:7'},{0: 0},['B-food'],[3],['B-food'],[3]
42,north,inform_area,2,['B-area'],[2],['north'],"{'text': 'Север', 'to': 'ru', 'alignment': {'proj': '0:4-0:4'}}",1,Север,0:4-0:4,"{'0:4': ['north', 'B-area', 2]}","{0: ['north', 'B-area', 2]}",{'0:4': '0:4'},{0: 0},['B-area'],[2],['B-area'],[2]
43,the center of town,inform_area,2,"['O', 'B-area', 'O', 'O']","[1, 2, 1, 1]","['the', 'center', 'of', 'town']","{'text': 'центр города', 'to': 'ru', 'alignment': {'proj': '4:9-0:4 14:17-6:11'}}",1,центр города,4:9-0:4 14:17-6:11,"{'0:2': ['the', 'O', 1], '4:9': ['center', 'B-area', 2], '11:12': ['of', 'O', 1], '14:17': ['town', 'O', 1]}","{0: ['the', 'O', 1], 4: ['center', 'B-area', 2], 11: ['of', 'O', 1], 14: ['town', 'O', 1]}","{'0:4': '4:9', '6:11': '14:17'}","{0: 4, 6: 14}","['O', 'B-area', 'O', 'O']","[1, 2, 1, 1]","['B-area', 'O']","[2, 1]"
44,barbecue food,inform_food,6,"['B-food', 'O']","[3, 1]","['barbecue', 'food']","{'text': 'барбекю еда', 'to': 'ru', 'alignment': {'proj': '9:12-0:6 9:12-8:10'}}",1,барбекю еда,9:12-0:6 9:12-8:10,"{'0:7': ['barbecue', 'B-food', 3], '9:12': ['food', 'O', 1]}","{0: ['barbecue', 'B-food', 3], 9: ['food', 'O', 1]}","{'0:6': '9:12', '8:10': '9:12'}","{0: 9, 8: 9}",['B-food'],['O'],"['O', 'O']","[1, 1]"
45,how about indian,inform_food__reqalts,15,"['O', 'O', 'B-food']","[1, 1, 3]","['how', 'about', 'indian']","{'text': 'как насчет индийского', 'to': 'ru', 'alignment': {'proj': '0:2-0:2 4:8-4:9 10:15-11:20'}}",1,как насчет индийского,0:2-0:2 4:8-4:9 10:15-11:20,"{'0:2': ['how', 'O', 1], '4:8': ['about', 'O', 1], '10:15': ['indian', 'B-food', 3]}","{0: ['how', 'O', 1], 4: ['about', 'O', 1], 10: ['indian', 'B-food', 3]}","{'0:2': '0:2', '4:9': '4:8', '11:20': '10:15'}","{0: 0, 4: 4, 11: 10}","['O', 'O', 'O', 'O', 'B-food']","[1, 1, 1, 1, 3]","['O', 'O', 'B-food']","[1, 1, 3]"
46,no italian food,inform_food__negate,21,"['O', 'B-food', 'O']","[1, 3, 1]","['no', 'italian', 'food']","{'text': 'нет итальянской кухни', 'to': 'ru', 'alignment': {'proj': '0:1-0:2 3:9-4:14 11:14-16:20'}}",1,нет итальянской кухни,0:1-0:2 3:9-4:14 11:14-16:20,"{'0:1': ['no', 'O', 1], '3:9': ['italian', 'B-food', 3], '11:14': ['food', 'O', 1]}","{0: ['no', 'O', 1], 3: ['italian', 'B-food', 3], 11: ['food', 'O', 1]}","{'0:2': '0:1', '4:14': '3:9', '16:20': '11:14'}","{0: 0, 4: 3, 16: 11}","['O', 'B-food', 'O']","[1, 3, 1]","['O', 'B-food', 'O']","[1, 3, 1]"
47,um doesnt matter if its in the center of the town,inform_area__inform_this,22,"['O', 'B-this', 'I-this', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 4, 5, 1, 1, 1, 1, 2, 1, 1, 1]","['um', 'doesnt', 'matter', 'if', 'its', 'in', 'the', 'center', 'of', 'the', 'town']","{'text': 'Не имеет значения, если он в центре города', 'to': 'ru', 'alignment': {'proj': '0:1-0:1 11:16-3:7 11:16-9:17 18:19-19:22 21:23-24:25 25:26-27:27 32:37-29:34 46:49-36:41'}}",1,"Не имеет значения, если он в центре города",0:1-0:1 11:16-3:7 11:16-9:17 18:19-19:22 21:23-24:25 25:26-27:27 32:37-29:34 46:49-36:41,"{'0:1': ['um', 'O', 1], '3:8': ['doesnt', 'B-this', 4], '10:15': ['matter', 'I-this', 5], '17:18': ['if', 'O', 1], '20:22': ['its', 'O', 1], '24:25': ['in', 'O', 1], '27:29': ['the', 'O', 1], '31:36': ['center', 'B-area', 2], '38:39': ['of', 'O', 1], '41:43': ['the', 'O', 1], '45:48': ['town', 'O', 1]}","{0: ['um', 'O', 1], 3: ['doesnt', 'B-this', 4], 10: ['matter', 'I-this', 5], 17: ['if', 'O', 1], 20: ['its', 'O', 1], 24: ['in', 'O', 1], 27: ['the', 'O', 1], 31: ['center', 'B-area', 2], 38: ['of', 'O', 1], 41: ['the', 'O', 1], 45: ['town', 'O', 1]}","{'0:1': '0:1', '3:7': '11:16', '9:17': '11:16', '19:22': '18:19', '24:25': '21:23', '27:27': '25:26', '29:34': '32:37', '36:41': '46:49'}","{0: 0, 3: 11, 9: 11, 19: 18, 24: 21, 27: 25, 29: 32, 36: 46}","['O', 'B-this', 'B-this', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 4, 4, 1, 1, 1, 1, 2, 1, 1, 1]","['O', 'I-this', 'I-this', 'O', 'O', 'O', 'B-area', 'O']","[1, 5, 5, 1, 1, 1, 2, 1]"
48,um,unknown,7,['O'],[1],['um'],"{'text': 'ум', 'to': 'ru', 'alignment': {'proj': '0:1-0:1'}}",1,ум,0:1-0:1,"{'0:1': ['um', 'O', 1]}","{0: ['um', 'O', 1]}",{'0:1': '0:1'},{0: 0},['O'],[1],['O'],[1]
49,how about italian food,inform_food__reqalts,15,"['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]","['how', 'about', 'italian', 'food']","{'text': 'как насчет итальянской кухни', 'to': 'ru', 'alignment': {'proj': '0:2-0:2 4:8-4:9 10:16-11:21 18:21-23:27'}}",1,как насчет итальянской кухни,0:2-0:2 4:8-4:9 10:16-11:21 18:21-23:27,"{'0:2': ['how', 'O', 1], '4:8': ['about', 'O', 1], '10:16': ['italian', 'B-food', 3], '18:21': ['food', 'O', 1]}","{0: ['how', 'O', 1], 4: ['about', 'O', 1], 10: ['italian', 'B-food', 3], 18: ['food', 'O', 1]}","{'0:2': '0:2', '4:9': '4:8', '11:21': '10:16', '23:27': '18:21'}","{0: 0, 4: 4, 11: 10, 23: 18}","['O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 3, 1]","['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]"
50,doesnt matter,inform_this,1,"['B-this', 'I-this']","[4, 5]","['doesnt', 'matter']","{'text': 'Всё равно', 'to': 'ru', 'alignment': {'proj': '0:13-0:8'}}",0,Всё равно,0:13-0:8,"{'0:5': ['doesnt', 'B-this', 4], '7:12': ['matter', 'I-this', 5]}","{0: ['doesnt', 'B-this', 4], 7: ['matter', 'I-this', 5]}",{'0:8': '0:13'},{0: 0},"['B-this', 'I-this', 'I-this']",['O'],"['B-this', -100]","[4, -100]"
51,whats their price range,request_pricerange,19,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['whats', 'their', 'price', 'range']","{'text': 'каков их ценовой диапазон', 'to': 'ru', 'alignment': {'proj': '0:4-0:4 6:10-6:7 12:16-9:15 18:22-17:24'}}",1,каков их ценовой диапазон,0:4-0:4 6:10-6:7 12:16-9:15 18:22-17:24,"{'0:4': ['whats', 'O', 1], '6:10': ['their', 'O', 1], '12:16': ['price', 'O', 1], '18:22': ['range', 'O', 1]}","{0: ['whats', 'O', 1], 6: ['their', 'O', 1], 12: ['price', 'O', 1], 18: ['range', 'O', 1]}","{'0:4': '0:4', '6:7': '6:10', '9:15': '12:16', '17:24': '18:22'}","{0: 0, 6: 6, 9: 12, 17: 18}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
52,and their phone number,request_phone,4,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['and', 'their', 'phone', 'number']","{'text': 'и их номер телефона', 'to': 'ru', 'alignment': {'proj': '0:2-0:0 4:8-2:3 10:14-11:18 16:21-5:9'}}",1,и их номер телефона,0:2-0:0 4:8-2:3 10:14-11:18 16:21-5:9,"{'0:2': ['and', 'O', 1], '4:8': ['their', 'O', 1], '10:14': ['phone', 'O', 1], '16:21': ['number', 'O', 1]}","{0: ['and', 'O', 1], 4: ['their', 'O', 1], 10: ['phone', 'O', 1], 16: ['number', 'O', 1]}","{'0:0': '0:2', '2:3': '4:8', '11:18': '10:14', '5:9': '16:21'}","{0: 0, 2: 4, 11: 10, 5: 16}","['O', 'O', 'O']","[1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
53,im looking for an expensive restaurant in the east part of town,inform_area__inform_pricerange,8,"['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1]","['im', 'looking', 'for', 'an', 'expensive', 'restaurant', 'in', 'the', 'east', 'part', 'of', 'town']","{'text': 'Я ищу дорогой ресторан в восточной части города', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 15:16-6:12 28:37-14:21 39:40-23:23 46:49-25:33 51:54-35:39 59:62-41:46'}}",1,Я ищу дорогой ресторан в восточной части города,0:1-0:0 3:9-2:4 15:16-6:12 28:37-14:21 39:40-23:23 46:49-25:33 51:54-35:39 59:62-41:46,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:16': ['an', 'O', 1], '18:26': ['expensive', 'B-pricerange', 0], '28:37': ['restaurant', 'O', 1], '39:40': ['in', 'O', 1], '42:44': ['the', 'O', 1], '46:49': ['east', 'B-area', 2], '51:54': ['part', 'O', 1], '56:57': ['of', 'O', 1], '59:62': ['town', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['an', 'O', 1], 18: ['expensive', 'B-pricerange', 0], 28: ['restaurant', 'O', 1], 39: ['in', 'O', 1], 42: ['the', 'O', 1], 46: ['east', 'B-area', 2], 51: ['part', 'O', 1], 56: ['of', 'O', 1], 59: ['town', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:12': '15:16', '14:21': '28:37', '23:23': '39:40', '25:33': '46:49', '35:39': '51:54', '41:46': '59:62'}","{0: 0, 2: 3, 6: 15, 14: 28, 23: 39, 25: 46, 35: 51, 41: 59}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 0, 1, 1, 2, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1]"
54,uh it doesnt matter,inform_this,1,"['O', 'O', 'B-this', 'I-this']","[1, 1, 4, 5]","['uh', 'it', 'doesnt', 'matter']","{'text': 'Эх, это не имеет значения', 'to': 'ru', 'alignment': {'proj': '0:1-0:2 3:4-4:6 6:12-8:9 14:19-11:15 14:19-17:24'}}",1,"Эх, это не имеет значения",0:1-0:2 3:4-4:6 6:12-8:9 14:19-11:15 14:19-17:24,"{'0:1': ['uh', 'O', 1], '3:4': ['it', 'O', 1], '6:11': ['doesnt', 'B-this', 4], '13:18': ['matter', 'I-this', 5]}","{0: ['uh', 'O', 1], 3: ['it', 'O', 1], 6: ['doesnt', 'B-this', 4], 13: ['matter', 'I-this', 5]}","{'0:2': '0:1', '4:6': '3:4', '8:9': '6:12', '11:15': '14:19', '17:24': '14:19'}","{0: 0, 4: 3, 8: 6, 11: 14, 17: 14}","['O', 'O', 'I-this', 'B-this', 'I-this']","[1, 1, 5, 4, 5]","['O', 'O', 'B-this', 'I-this', 'I-this']","[1, 1, 4, 5, 5]"
55,do you have anything else,reqalts,23,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['do', 'you', 'have', 'anything', 'else']","{'text': 'у вас есть что-нибудь еще', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:5-2:4 7:10-6:9 12:19-11:20 21:24-22:24'}}",1,у вас есть что-нибудь еще,0:1-0:0 3:5-2:4 7:10-6:9 12:19-11:20 21:24-22:24,"{'0:1': ['do', 'O', 1], '3:5': ['you', 'O', 1], '7:10': ['have', 'O', 1], '12:19': ['anything', 'O', 1], '21:24': ['else', 'O', 1]}","{0: ['do', 'O', 1], 3: ['you', 'O', 1], 7: ['have', 'O', 1], 12: ['anything', 'O', 1], 21: ['else', 'O', 1]}","{'0:0': '0:1', '2:4': '3:5', '6:9': '7:10', '11:20': '12:19', '22:24': '21:24'}","{0: 0, 2: 3, 6: 7, 11: 12, 22: 21}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
56,alright do you have the phone number for that one,request_phone,4,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['alright', 'do', 'you', 'have', 'the', 'phone', 'number', 'for', 'that', 'one']","{'text': 'Хорошо, у вас есть номер телефона для этого', 'to': 'ru', 'alignment': {'proj': '0:6-0:6 11:13-10:12 15:18-8:8 15:18-14:17 24:28-25:32 30:35-19:23 37:39-34:36 41:44-38:42'}}",1,"Хорошо, у вас есть номер телефона для этого",0:6-0:6 11:13-10:12 15:18-8:8 15:18-14:17 24:28-25:32 30:35-19:23 37:39-34:36 41:44-38:42,"{'0:6': ['alright', 'O', 1], '8:9': ['do', 'O', 1], '11:13': ['you', 'O', 1], '15:18': ['have', 'O', 1], '20:22': ['the', 'O', 1], '24:28': ['phone', 'O', 1], '30:35': ['number', 'O', 1], '37:39': ['for', 'O', 1], '41:44': ['that', 'O', 1], '46:48': ['one', 'O', 1]}","{0: ['alright', 'O', 1], 8: ['do', 'O', 1], 11: ['you', 'O', 1], 15: ['have', 'O', 1], 20: ['the', 'O', 1], 24: ['phone', 'O', 1], 30: ['number', 'O', 1], 37: ['for', 'O', 1], 41: ['that', 'O', 1], 46: ['one', 'O', 1]}","{'0:6': '0:6', '10:12': '11:13', '8:8': '15:18', '14:17': '15:18', '25:32': '24:28', '19:23': '30:35', '34:36': '37:39', '38:42': '41:44'}","{0: 0, 10: 11, 8: 15, 14: 15, 25: 24, 19: 30, 34: 37, 38: 41}","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1]"
57,okay what about the post code,request_postcode,24,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['okay', 'what', 'about', 'the', 'post', 'code']","{'text': 'Хорошо, как насчет почтового индекса', 'to': 'ru', 'alignment': {'proj': '0:3-0:6 5:8-8:10 16:18-12:17 16:18-19:27 25:28-29:35'}}",1,"Хорошо, как насчет почтового индекса",0:3-0:6 5:8-8:10 16:18-12:17 16:18-19:27 25:28-29:35,"{'0:3': ['okay', 'O', 1], '5:8': ['what', 'O', 1], '10:14': ['about', 'O', 1], '16:18': ['the', 'O', 1], '20:23': ['post', 'O', 1], '25:28': ['code', 'O', 1]}","{0: ['okay', 'O', 1], 5: ['what', 'O', 1], 10: ['about', 'O', 1], 16: ['the', 'O', 1], 20: ['post', 'O', 1], 25: ['code', 'O', 1]}","{'0:6': '0:3', '8:10': '5:8', '12:17': '16:18', '19:27': '16:18', '29:35': '25:28'}","{0: 0, 8: 5, 12: 16, 19: 16, 29: 25}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
58,okay thank you,thankyou,25,"['O', 'O', 'O']","[1, 1, 1]","['okay', 'thank', 'you']","{'text': 'Хорошо, спасибо', 'to': 'ru', 'alignment': {'proj': '0:3-0:6 5:9-8:14'}}",1,"Хорошо, спасибо",0:3-0:6 5:9-8:14,"{'0:3': ['okay', 'O', 1], '5:9': ['thank', 'O', 1], '11:13': ['you', 'O', 1]}","{0: ['okay', 'O', 1], 5: ['thank', 'O', 1], 11: ['you', 'O', 1]}","{'0:6': '0:3', '8:14': '5:9'}","{0: 0, 8: 5}","['O', 'O']","[1, 1]","['O', 'O']","[1, 1]"
